"","Rating","Review","reviewDate","rating_year"
"1",3,"Usually i like slow paced films but at some point a movie should draw interest or emotion There are almost no story peaks that are exciting suspensful emotional or whatever When people die for example they get killed suddenly out ofUsually i like slow paced films but at some point a movie should draw interest or emotion There are almost no story peaks that are exciting suspensful emotional or whatever When people die for example they get killed suddenly out of nowhere so even before these moments the movie builds up no suspense Many scenes are far too long and forgettable like both the weddings and many more Even the horsehead had no relevance for anything The acting is solid but never reaches any remarkable levels Not one of the characters is truly likeable what makes it difficult to feel for them In the end i am also a bit disappointed of the camera work too many wideshots too less facial close ups and missing overall aesthetics in look and scenery I feel bad for rating a classic movie like this so low but i cant see the brilliancy of The Godfather Expand","2019-04-20",2019
"2",10,"This review contains spoilers click expand to view Bom Quando eu ouvi falar neste filme eu pensei E mais um filme de Gangster e também lembro de fazer aquela cara de arrependido quando vi a cena inicial eu considero este o melhor filme de todos os tempos não só pena sua magnifica historia como também a ousadia do Francis Ford Coppola para fazer o filme de sua maneira e um filme que nos ensina muita coisa principalmente a valorização da família e a lealdade Expand","2019-04-09",2019
"3",10,"This has to be amongst the best films ever made sublime in every way Magnificent","2019-04-09",2019
"4",9,"This one is just a timeless classic You need to see this one to truly appreciate the old school mafia themed stories","2019-03-25",2019
"5",3,"Francis Ford Coppola has done the best he can with such meagre resources Consider The Godfather and the Godfather Part II as Coppola working through his directorial immaturity on his way to producing his masterwork The Godfather Part III","2019-03-18",2019
"6",10,"THE mob movie Bar none this one sets the tone for all others Sure there have been gangster movies before but they are pretty formulaic okay I ll give you James Cagney in Public Enemy and bonus points for Tony Soprano eating ice creamTHE mob movie Bar none this one sets the tone for all others Sure there have been gangster movies before but they are pretty formulaic okay I ll give you James Cagney in Public Enemy and bonus points for Tony Soprano eating ice cream while watching it but this brought humanity and depth to the genre in a way not many others have since My only contention is that the sequel surpasses the original and should be above it on this list Expand","2019-03-12",2019
"7",10,"The Godfather is the perfection of cinematography with a unique and special gangster style a respect for the unsurpassed work and a family a family that revolutionized cinema","2019-02-25",2019
"8",9,"Iconic Well made and well acted especially Pacino but some scenes do not hold up as well and it is a little too long","2019-01-15",2019
"9",10,"Classic Copolla and the actors made a beautiful job I love the way they get back to Italy and show the roots of Mafia italiana","2018-12-26",2018
"10",10,"This review contains spoilers click expand to view Francis Ford Coppola is one of the greatest directors of all time and to say that this film is his masterpiece is no small thing dark and calculated whether in the excellent script of Coppola and Puzo or in the inspired direction or in a scene of a wedding in which nothing goes wrong or in the death of a character so brutally and yet balances moments like these even if distant so perfectly is sensational The godfather is one of the best directed written and acted films in history Expand","2018-12-11",2018
